Grade,Text,lemmatized,grammarized
2.0,It was the day after St. Patricks Day  and all the little leprechauns were settling down for a nap. But one leprechaun named Sly was wide awake. He had lost his magic coin! Meanwhile a little girl named Emma had found the leprechauns magic coin. Hey  look at this! she exclaimed to her mom. Wow  said her mom  I think its a real leprechaun coin. Without it the leprechaun cant get around very fast. Youd better go to the woods and try to find the leprechaun who lost it. So the girl hurried off into the woods. A few minutes after the girl entered the woods  she saw a little leprechaun moving very slowly through a patch of three-leaf clovers. She said  Heres your coin back. The leprechaun was very grateful. He gave the girl three wishes and set off  never to lose his coin again.,it be the day after st patrick day and all the little leprechaun be settle down for a nap but one leprechaun name sly be wide awake he have lose his magic coin meanwhile a little girl name emma have find the leprechauns magic coin hey look at this she exclaim to her mom wow say her mom i think it a real leprechaun coin without it the leprechaun cant get around very fast youd well go to the wood and try to find the leprechaun who lose it so the girl hurry off into the wood a few minute after the girl enter the wood she saw a little leprechaun move very slowly through a patch of three leaf clover she say here your coin back the leprechaun be very grateful he give the girl three wish and set off never to lose his coin again,+ it was the day after + st . + patricks + day and all the little leprechauns were settling down for a nap . + but one leprechaun named + sly was wide awake . + he had lost his magic coin ! + meanwhile a little girl named + emma had found the leprechauns magic coin . + hey look at this ! she exclaimed to her mom . + wow said her mom I think its a real leprechaun coin . + without it the leprechaun cant get around very fast . + youd better go to the woods and try to find the leprechaun who lost it . + so the girl hurried off into the woods . A few minutes after the girl entered the woods she saw a little leprechaun moving very slowly through a patch of three - leaf clovers . + she said + heres your coin back . + the leprechaun was very grateful . + he gave the girl three wishes and set off never to lose his coin again . 
2.0,I see the snow glittering in the sky. I have goosebumps going down my spine. The beautiful smell of candles burning all night  the new smell of winter shining bright. Snow is on the ground. The magnificent winter in my hand. Icy lakes cracked by too much pressure  the glorious sight of winter.,i see the snow glittering in the sky i have goosebumps go down my spine the beautiful smell of candle burn all night the new smell of winter shin bright snow be on the ground the magnificent winter in my hand icy lake crack by too much pressure the glorious sight of winter,I see the snow glittering in the sky . I have goosebumps going down my spine . + the beautiful smell of candles burning all night the new smell of winter shining bright . + snow is on the ground . + the magnificent winter in my hand . + icy lakes cracked by too much pressure the glorious sight of winter . 
2.0,Did you know horses can point their ears more than we can? Did you know that horses can groom one another? Horses can also see more than we can. They can see what is behind and what is in front of them. Some horses live in North America  South America  Europe  and Australia. Fifty-five million years ago horses were dog sized. Horses are black  brown  white  and spotted. Horses like to eat grass. Horses live on a farm and outside. Horses played a big role in the development of our country. They carried people west. They pulled covered wagons  firewagons  farmers plows  and stagecoaches. They carried the mail. In the 1900s the horse was replaced by the car and the train. The largest horse is the Percheron. It is 21 hands high. The smallest horse is the Falabella. It is only 7 hands high. Horses usually have one baby a year. They live 25 to 35 years. I wish I could be like a horse because they know when they are in danger. They can see so well because their eyes are on the sides of their faces.,do you know horse can point their ear more than we can do you know that horse can groom one another horse can also see more than we can they can see what be behind and what be in front of them some horse live in north america south america europe and australia fifty five million year ago horse be dog sized horse be black brown white and spotted horse like to eat grass horse live on a farm and outside horse play a big role in the development of our country they carry people west they pull covered wagon firewagons farmer plow and stagecoach they carry the mail in the s the horse be replace by the car and the train the large horse be the percheron it be hands high the small horse be the falabella it be only hands high horse usually have one baby a year they live to year i wish i could be like a horse because they know when they be in danger they can see so well because their eye be on the side of their face,+ did you know horses can point their ears more than we can ? + did you know that horses can groom one another ? + horses can also see more than we can . + they can see what is behind and what is in front of them . + some horses live in + north + america + south + america + europe and + australia . + fifty - five million years ago horses were dog sized . + horses are black brown white and spotted . + horses like to eat grass . + horses live on a farm and outside . + horses played a big role in the development of our country . + they carried people west . + they pulled covered wagons firewagons farmers plows and stagecoaches . + they carried the mail . + in the 1900s the horse was replaced by the car and the train . + the largest horse is the + percheron . + it is 21 hands high . + the smallest horse is the + falabella . + it is only 7 hands high . + horses usually have one baby a year . + they live 25 to 35 years . I wish I could be like a horse because they know when they are in danger . + they can see so well because their eyes are on the sides of their faces . 
2.0,Ladybugs are insects. Insects are bugs that have six legs. Ladybugs have all kinds of designs on their wings. They have dots  stripes  and other designs. In England ladybugs are called ladybirds. Ladybugs are harmless  but if you pick one up it will tickle you! Ladybugs are very helpful to farmers because they eat aphids. Aphids are tiny bugs that eat plants. Ladybugs enemies are spiders and praying mantises. If you find a ladybug  dont smash it. Put it in some flowers nearby. If you like ladybugs as much as I do  then you should read The Grumpy Ladybug by Eric Carle. I love ladybugs!,ladybug be insect insect be bug that have six leg ladybug have all kind of design on their wing they have dot stripe and other design in england ladybug be call ladybird ladybug be harmless but if you pick one up it will tickle you ladybug be very helpful to farmer because they eat aphid aphid be tiny bug that eat plant ladybugs enemy be spider and pray mantis if you find a ladybug dont smash it put it in some flower nearby if you like ladybug as much a i do then you should read the grumpy ladybug by eric carle i love ladybug,+ ladybugs are insects . + insects are bugs that have six legs . + ladybugs have all kinds of designs on their wings . + they have dots stripes and other designs . + in + england ladybugs are called ladybirds . + ladybugs are harmless but if you pick one up it will tickle you ! + ladybugs are very helpful to farmers because they eat aphids . + aphids are tiny bugs that eat plants . + ladybugs enemies are spiders and praying mantises . + if you find a ladybug dont smash it . + put it in some flowers nearby . + if you like ladybugs as much as I do then you should read + the + grumpy + ladybug by + eric + carle . I love ladybugs ! 
3.0,Materials: a pan  hot water  one or more eggs Step one: Pour the hot water into the pan and let it boil on the stove. Step two: When thats done  put the eggs into the boiling water. Step three: Let them sit for about 10 minutes. Take the eggs out. Let them cool for about 5 minutes. Step four: If theyre still hot  let them cool for about 3 more minutes. Step five: Get a plate and a spoon. Peel off the eggshells and eat the eggs with a little salt and pepper. That is how to make boiled eggs.,material a pan hot water one or more eggs step one pour the hot water into the pan and let it boil on the stove step two when thats do put the egg into the boiling water step three let them sit for about minute take the egg out let them cool for about minute step four if theyre still hot let them cool for about more minute step five get a plate and a spoon peel off the eggshell and eat the egg with a little salt and pepper that be how to make boil egg,+ materials : a pan hot water one or more eggs + step one : + pour the hot water into the pan and let it boil on the stove . + step two : + when thats done put the eggs into the boiling water . + step three : + let them sit for about 10 minutes . + take the eggs out . + let them cool for about 5 minutes . + step four : + if theyre still hot let them cool for about 3 more minutes . + step five : + get a plate and a spoon . + peel off the eggshells and eat the eggs with a little salt and pepper . + that is how to make boiled eggs . 
3.0,We have a big decision to make. We can use cloth  paper  or plastic bags. I choose cloth because paper uses trees  and plastic uses petroleum; so we should use cloth. Cloth bags are easy to take with you and use again and again. We need to keep our earth clean  so lets use cloth. Remember  recycle and reuse.,we have a big decision to make we can use cloth paper or plastic bag i choose cloth because paper use tree and plastic us petroleum so we should use cloth cloth bag be easy to take with you and use again and again we need to keep our earth clean so let use cloth remember recycle and reuse,+ we have a big decision to make . + we can use cloth paper or plastic bags . I choose cloth because paper uses trees and plastic uses petroleum ; so we should use cloth . + cloth bags are easy to take with you and use again and again . + we need to keep our earth clean so lets use cloth . + remember recycle and reuse . 
3.0,I remember when my dog Murphy was really little. She was only two or three years old. It was on Christmas. My dad put on some Christmas music  and Murphy put her paws up in the air and started swirling around in circles. Then she put her paws on my dads hands  and they started dancing together. It was very funny  and my dad thought that Murphy was a good dancer!,i remember when my dog murphy be really little she be only two or three year old it be on christmas my dad put on some christmas music and murphy put her paw up in the air and start swirl around in circle then she put her paw on my dad hand and they start dance together it be very funny and my dad think that murphy be a good dancer,I remember when my dog + murphy was really little . + she was only two or three years old . + it was on + christmas . + my dad put on some + christmas music and + murphy put her paws up in the air and started swirling around in circles . + then she put her paws on my dads hands and they started dancing together . + it was very funny and my dad thought that + murphy was a good dancer ! 
3.0,One day it snowed like crazy! So school was cancelled. I had Amy over to play. We decided to go sledding. So we started to slide down the hill. We sledded for a long time. One time we decided to go down together. Amy sat in the front seat  and I sat in the back. We started to go down the hill. Then CRASH! We ran into a bush! Amy went flying  and I got my feet caught in the bush! Amy looked like a spider caught in its own spider web. I had a lot of fun that day  and I will never forget it!,one day it snow like crazy so school be cancel i have amy over to play we decide to go sled so we start to slide down the hill we sledded for a long time one time we decide to go down together amy sat in the front seat and i sit in the back we start to go down the hill then crash we run into a bush amy go fly and i get my foot catch in the bush amy look like a spider caught in it own spider web i have a lot of fun that day and i will never forget it,+ one day it snowed like crazy ! + so school was cancelled . I had + amy over to play . + we decided to go sledding . + so we started to slide down the hill . + we sledded for a long time . + one time we decided to go down together . + amy sat in the front seat and I sat in the back . + we started to go down the hill . + then + crash ! + we ran into a bush ! + amy went flying and I got my feet caught in the bush ! + amy looked like a spider caught in its own spider web . I had a lot of fun that day and I will never forget it ! 
3.0,Fire Crackling against the wood I hear the smoke Run up the chimney. Ashes dodge out of the fire Hitting against my skin.,fire crackle against the wood i hear the smoke run up the chimney ash dodge out of the fire hitting against my skin,+ fire + crackling against the wood I hear the smoke + run up the chimney . + ashes dodge out of the fire + hitting against my skin . 
3.0,When spring is in the air  Most of the flowers care. All the leaves grow on trees  And the people with allergies sneeze. All the boys run out  And their parents shout. We all sing about the day That spring flew into replay.,when spring be in the air most of the flower care all the leaf grow on tree and the people with allergy sneeze all the boy run out and their parent shout we all sing about the day that spring fly into replay,+ when spring is in the air + most of the flowers care . + all the leaves grow on trees + and the people with allergies sneeze . + all the boys run out + and their parents shout . + we all sing about the day + that spring flew into replay . 
3.0,You should never race a cheetah. Do you know why? Because youll always lose. Thats because cheetahs are very fast runners. They can run up to 75 miles per hour. The cheetah gets its food by running. But sometimes the lion takes over and grabs the food. Thats mean! Cheetahs are carnivores. That means they eat meat. Their prey are gazelles and rodents. The cheetah lives and finds food in Africa. The cheetah and the lion eat each other. If the cheetah is weaker  the lion eats the cheetah  and its the same with the other. The cheetah has up to three to five babies. The cheetah has larger litters than other cats  but on average only two cubs live into adulthood. Cheetahs are amazing. I hope you like cheetahs. I know I do!,you should never race a cheetah do you know why because youll always lose thats because cheetah be very fast runner they can run up to mile per hour the cheetah get it food by run but sometimes the lion take over and grab the food thats mean cheetah be carnivores that mean they eat meat their prey be gazelle and rodents the cheetah life and find food in africa the cheetah and the lion eat each other if the cheetah be weak the lion eat the cheetah and it the same with the other the cheetah have up to three to five baby the cheetah have large litter than other cat but on average only two cub live into adulthood cheetah be amaze i hope you like cheetah i know i do,+ you should never race a cheetah . + do you know why ? + because youll always lose . + thats because cheetahs are very fast runners . + they can run up to 75 miles per hour . + the cheetah gets its food by running . + but sometimes the lion takes over and grabs the food . + thats mean ! + cheetahs are carnivores . + that means they eat meat . + their prey are gazelles and rodents . + the cheetah lives and finds food in + africa . + the cheetah and the lion eat each other . + if the cheetah is weaker the lion eats the cheetah and its the same with the other . + the cheetah has up to three to five babies . + the cheetah has larger litters than other cats but on average only two cubs live into adulthood . + cheetahs are amazing . I hope you like cheetahs . I know I do ! 
3.0,Dear Ms. Nathan  Thanks for attaching your vacation pictures! You look great in them! Wow  traveling to Yosemite Park sounds cool. And its nice you and Dr. Nathan are doing something special every weekend. Thats great that you are playing the Mozart Concerto in C  even though you are playing an easy version. Yes! I am proud of you. I am in Level 3 in piano. Morse School is really looking great. They are almost done remodeling. I wish you could see it. I think well get to move back in soon. My new teacher is Ms. Porter. Many of the kids you had last year are in Ms. Porters class. Please write back and tell me about California. Fondly  Andrea P.S. We had a lot of snow  about 17 inches.,dear m nathan thanks for attach your vacation picture you look great in them wow travel to yosemite park sound cool and it nice you and dr nathan be do something special every weekend thats great that you be play the mozart concerto in c even though you be play an easy version yes i be proud of you i be in level in piano morse school be really look great they be almost do remodeling i wish you could see it i think well get to move back in soon my new teacher be ms porter many of the kid you have last year be in ms porter class please write back and tell me about california fondly andrea p s we have a lot of snow about inch,+ dear + ms . + nathan + thanks for attaching your vacation pictures ! + you look great in them ! + wow traveling to + yosemite + park sounds cool . + and its nice you and + dr . + nathan are doing something special every weekend . + thats great that you are playing the + mozart + concerto in C even though you are playing an easy version . + yes ! I am proud of you . I am in + level 3 in piano . + morse + school is really looking great . + they are almost done remodeling . I wish you could see it . I think well get to move back in soon . + my new teacher is + ms . + porter . + many of the kids you had last year are in + ms . + porters class . + please write back and tell me about + california . + fondly + andrea P . S . + we had a lot of snow about 17 inches . 
4.0,Do you have a favorite place to goâ€”a place with family  good weather  and fun things to do like crabbing? Im glad I do. New Jersey is my favorite place for many reasons. The first reason is my family. Over half of my family lives in New Jersey. When I visit  my cousins and I laugh and play all day and night. My uncles and aunts take me to the boardwalk where we ride roller coasters. We devour juicy caramel-covered apples and foot-long hot dogs. My family is fun to be with. The second reason for New Jersey being my favorite place is the weather. Instead of being hot and sweaty  its always cool and moist. When I think about my visits  I can just feel the crisp fall breeze in my hair. I can just see the white  fluffy winter snow. I can just hear the soft spring trickles of rain splashing on the sidewalks. I can just feel the warm summer sun on my face. The weather is great! The third reason for New Jersey being my favorite place is crabbing. If its crab season  we crab. We keep the blue crabs and the snow crabs  and we let the others go. Sometimes we catch crabs on hooks  and sometimes we lower crab cages into the bay. Then we pull them out later. One time my brother caught a crab so big that it got stuck in the crab cage! The crab finally got out  but it hurt one of its legs and broke the cage trying. Poor crab! For all these reasons  New Jersey is my favorite place to go. If you dont have a favorite place  I think you should search for one. Its good to visit a favorite placeâ€”a place where you can make special memories. By the way  if you crab at your special place  be sure to get a big crab cage.,do you have a favorite place to go a place with family good weather and fun thing to do like crab im glad i do new jersey be my favorite place for many reason the first reason be my family over half of my family live in new jersey when i visit my cousin and i laugh and play all day and night my uncle and aunt take me to the boardwalk where we ride roller coaster we devour juicy caramel cover apple and foot long hot dog my family be fun to be with the second reason for new jersey be my favorite place be the weather instead of be hot and sweaty it always cool and moist when i think about my visit i can just feel the crisp fall breeze in my hair i can just see the white fluffy winter snow i can just hear the soft spring trickle of rain splash on the sidewalk i can just feel the warm summer sun on my face the weather be great the third reason for new jersey be my favorite place be crab if it crab season we crab we keep the blue crab and the snow crab and we let the others go sometimes we catch crab on hook and sometimes we low crab cage into the bay then we pull them out later one time my brother catch a crab so big that it get stick in the crab cage the crab finally get out but it hurt one of it leg and break the cage try poor crab for all these reason new jersey be my favorite place to go if you dont have a favorite place i think you should search for one it good to visit a favorite place a place where you can make special memory by the way if you crab at your special place be sure to get a big crab cage,+ do you have a favorite place to goa place with family good weather and fun things to do like crabbing ? + im glad I do . + new + jersey is my favorite place for many reasons . + the first reason is my family . + over half of my family lives in + new + jersey . + when I visit my cousins and I laugh and play all day and night . + my uncles and aunts take me to the boardwalk where we ride roller coasters . + we devour juicy caramel - covered apples and foot - long hot dogs . + my family is fun to be with . + the second reason for + new + jersey being my favorite place is the weather . + instead of being hot and sweaty its always cool and moist . + when I think about my visits I can just feel the crisp fall breeze in my hair . I can just see the white fluffy winter snow . I can just hear the soft spring trickles of rain splashing on the sidewalks . I can just feel the warm summer sun on my face . + the weather is great ! + the third reason for + new + jersey being my favorite place is crabbing . + if its crab season we crab . + we keep the blue crabs and the snow crabs and we let the others go . + sometimes we catch crabs on hooks and sometimes we lower crab cages into the bay . + then we pull them out later . + one time my brother caught a crab so big that it got stuck in the crab cage ! + the crab finally got out but it hurt one of its legs and broke the cage trying . + poor crab ! + for all these reasons + new + jersey is my favorite place to go . + if you dont have a favorite place I think you should search for one . + its good to visit a favorite placea place where you can make special memories . + by the way if you crab at your special place be sure to get a big crab cage . 
4.0,Do you have someone who is great  spends time with you  cares for you  and is an important person? Well  I do  and she has black hair  brown eyes  and a caring touch. Thats my mom. My mom talks to me about many things. One of the things she talks to me about is what will happen when I grow up. She tells me what to do in case of an emergency. And one day I had a really bad day with my friends  and she told me what to do about it. My mom and I spend a lot of time together. We play games  bake cookies  make necklaces  and draw doodle tricks. But our favorite thing to do is read. Our favorite book is If You Give a Mouse a Cookie. Mom takes me shopping at the mall. We buy toys and clothes  and we eat at the cafe. We usually get Chinese food or go to a McDonalds restaurant. When we ride the escalator  my mom pretends to fall back and says  My shoestrings stuck! My mom always laughs  and when she laughs she sounds like a hyena gone crazy! She doesnt laugh every day  but when she does  its hilarious  and I have to laugh  too! My mom is the greatest. I love how she jokes around. She is always fun no matter what  and she gives me great advice. My mom is more than a mom; she is like my best friend!,do you have someone who be great spends time with you care for you and be an important person well i do and she have black hair brown eye and a caring touch thats my mom my mom talk to me about many thing one of the thing she talk to me about be what will happen when i grow up she tell me what to do in case of an emergency and one day i have a really bad day with my friend and she tell me what to do about it my mom and i spend a lot of time together we play game bake cooky make necklace and draw doodle trick but our favorite thing to do be read our favorite book be if you give a mouse a cookie mom take me shop at the mall we buy toy and clothes and we eat at the cafe we usually get chinese food or go to a mcdonalds restaurant when we ride the escalator my mom pretend to fall back and say my shoestring stick my mom always laugh and when she laugh she sound like a hyena go crazy she doesnt laugh every day but when she do it hilarious and i have to laugh too my mom be the great i love how she joke around she be always fun no matter what and she give me great advice my mom be more than a mom she be like my best friend,+ do you have someone who is great spends time with you cares for you and is an important person ? + well I do and she has black hair brown eyes and a caring touch . + thats my mom . + my mom talks to me about many things . + one of the things she talks to me about is what will happen when I grow up . + she tells me what to do in case of an emergency . + and one day I had a really bad day with my friends and she told me what to do about it . + my mom and I spend a lot of time together . + we play games bake cookies make necklaces and draw doodle tricks . + but our favorite thing to do is read . + our favorite book is + if + you + give a + mouse a + cookie . + mom takes me shopping at the mall . + we buy toys and clothes and we eat at the cafe . + we usually get + chinese food or go to a + mcdonalds restaurant . + when we ride the escalator my mom pretends to fall back and says + my shoestrings stuck ! + my mom always laughs and when she laughs she sounds like a hyena gone crazy ! + she doesnt laugh every day but when she does its hilarious and I have to laugh too ! + my mom is the greatest . I love how she jokes around . + she is always fun no matter what and she gives me great advice . + my mom is more than a mom ; she is like my best friend ! 
